Game_ID,Date,Home_Team,Away_Team,Home_Score_1H,Home_Score_2H,Home_Score_Final,Away_Score_1H,Away_Score_2H,Away_Score_Final,Venue,Game_Time,Official_1,Official_2,Official_3,Home_Personal_Fouls,Away_Personal_Fouls,Home_FTM,Away_FTM,Home_FTA,Away_FTA,Home_FT_Percentage,Away_FT_Percentage,Home_Technical_Fouls,Away_Technical_Fouls,Home_Flagrant_Fouls,Away_Flagrant_Fouls,Home_Fouls_1H,Away_Fouls_1H,Home_Fouls_2H,Away_Fouls_2H,Foul_Differential,Total_Fouls,Free_Throw_Differential
5730943,2024-11-04,North Dakota,Colorado St.,22,34,56,39,43,82,"Moby Arena (Fort Collins, CO)",11/04/2024 09:30 PM,Tony Meeks,Daniel Nguyen,Verne Harris,5,4,22,30,26,30,26,30,1,1,4,3,16,17,7,7,1,9,-4
5723189,2024-11-04,Wichita St.,Western Ky.,43,48,91,38,46,84,"E.A. Diddle Arena (Bowling Green, KY)",11/04/2024 08:00 PM,Blake Harris,Rodrick Dixon,Stephen Orkus,11,6,34,31,27,37,27,37,8,3,3,3,27,25,16,14,5,17,-10
5722778,2024-11-04,LIU,Ole Miss,27,33,60,44,46,90,"The Sandy and John Black Pavilion at Ole Miss (Oxford, MS)",11/04/2024 08:30 PM,Shaun Seales,Chuck Jones,Owen Shortt,5,9,26,25,32,32,32,32,4,5,1,4,15,22,9,11,-4,14,0
5722898,2024-11-04,Old Westbury,Hofstra,34,28,62,34,55,89,"David S. Mack Sports and Exhibition Complex (Hempstead, NY)",11/04/2024 05:00 PM,Sean Campbell,Ryan Corbett,Mike McCloskey,10,11,33,34,31,32,31,32,6,5,4,6,24,34,13,18,-1,21,-1
5728274,2024-11-04,Navy,Saint Joseph's,33,30,63,28,42,70,"Hagan Arena (Philadelphia, PA)",11/04/2024 07:00 PM,Vasili Mallios,Adam Vandenburgh,Brian Zink,6,8,37,25,30,21,30,21,3,4,3,4,22,22,10,14,-2,14,9
5729025,2024-11-04,Kent St.,Louisiana,30,40,70,27,39,66,"Cajundome (Lafayette, LA)",11/04/2024 08:00 PM,Andrew Casas,Nelson Santiago,Mike Nance,6,9,26,22,24,27,24,27,3,4,3,5,24,20,14,10,-3,15,-3
5736140,2024-11-04,Toledo,Troy,29,45,74,43,41,84,"Trojan Arena (Troy, AL)",11/04/2024 07:00 PM,James Gibson,Jordan Arnold,Tucson Grigg,3,7,35,32,34,35,34,35,3,4,0,3,17,23,11,10,-4,10,-1
5736880,2024-11-04,Hawaii Hilo,Montana,30,31,61,49,43,92,"Dahlberg Arena (Missoula, MT)",11/04/2024 09:00 PM,Ryan Parilo,Jason Horsley,Eric Boyce,5,4,34,28,29,39,29,39,2,2,3,2,18,22,8,7,1,9,-10
5740540,2024-11-04,Northwest Indian,Weber St.,15,20,35,62,56,118,"Dee Events Center (Ogden, UT)",11/04/2024 09:00 PM,Shane Thurston,Nate Melson,Doran Gotschall,3,19,34,37,35,41,35,41,2,11,1,8,21,36,14,19,-16,22,-6
5731013,2024-11-04,Columbia Int'l,Furman,15,31,46,58,46,104,"Bon Secours Wellness Arena (Greenville, SC)",11/04/2024 07:00 PM,Derek Henry,Jake Keller,Nate Gamet,2,13,27,34,29,29,29,29,1,12,1,1,21,21,12,17,-11,15,0
5732836,2024-11-04,Indiana St.,Fla. Atlantic,28,36,64,53,44,97,"Wooden Family Fieldhouse (Xenia, OH)",11/04/2024 07:30 PM,JP Primm,Ervin Wilson,Jeff Campbell,13,11,32,35,32,26,32,26,8,7,5,4,37,23,18,14,2,24,6
5810581,2024-11-04,Frostburg St.,Morgan St.,37,39,76,39,50,89,"Hill Field House (Baltimore, MD)",11/04/2024 07:00 PM,Anthony Munford,Reginald McNeal,Jackie Sanders,10,5,37,33,0,0,0,0,6,2,0,0,34,8,18,3,5,15,0
5734413,2024-11-04,Dickinson,William & Mary,19,17,36,42,42,84,"Kaplan Arena (Williamsburg, VA)",11/04/2024 07:00 PM,Brelan Hillman,Evan Ardelean,Kendell Ridley,4,12,32,29,27,35,27,35,3,6,1,6,31,36,17,18,-8,16,-8
5732381,2024-11-04,USC Upstate,NC State,35,31,66,50,47,97,"Lenovo Center (Raleigh, NC)",11/04/2024 07:00 PM,Grant Todey,Adam Flore,Eric Lewis,3,9,31,32,31,36,31,36,1,5,2,4,21,27,7,13,-6,12,-5
5722529,2024-11-04,North Florida,South Carolina,31,43,74,36,35,71,"Colonial Life Arena (Columbia, SC)",11/04/2024 07:00 PM,Josue Nieves,Anthony Jordan,Olandis Poole,10,5,35,29,34,27,34,27,5,3,5,2,29,16,17,8,5,15,7
5725910,2024-11-04,Marist,Harvard,34,32,66,41,38,79,"Lavietes Pavilion (Boston, MA)",11/04/2024 05:00 PM,Jim Googas,Riley McGraw,Will Flowers,8,7,34,25,29,23,29,23,5,4,3,3,20,17,13,9,1,15,6
5722381,2024-11-04,UNC Asheville,Alabama,29,25,54,50,60,110,"Coleman Coliseum (Tuscaloosa, AL)",11/04/2024 09:00 PM,Chuck McCoy,Bharat Ramnanan,Joe Lindsay,6,8,34,29,39,31,39,31,3,3,3,5,26,18,11,9,-2,14,8
